date,1,2,3,4
2021/3/31,8.15,10.7,1.4,0.04
2021/4/1,7.49,8.96,2.2,0.18
2021/4/2,8.01,9.5,1.8,0.22
2021/4/3,7.53,8.21,1.8,0.17
2021/4/4,6.64,5.05,3.8,1.24
2021/4/5,7.14,12.4,1.4,0.19
2021/4/6,8.84,8.32,2.7,0.32
2021/4/7,7.46,7.79,2.1,0.69
2021/4/8,6.7,7.5,2.3,0.76
2021/4/9,7.45,7.93,1.8,0.05
2021/4/10,8.08,8.05,1,0.12
2021/4/11,8.35,8.73,1.4,0.16
2021/4/12,7.33,8.54,1.4,0.11
2021/4/13,7.34,9.39,2.1,0.18
2021/4/14,7.32,6.68,2.5,0.1
2021/4/15,7.59,7.27,2.6,0.14
2021/4/16,8.12,7.5,2.1,0.29
2021/4/17,7.95,8.33,1.4,0.2
2021/4/18,7.43,6.75,3.5,0.33
2021/4/19,7.21,7.26,2.3,0.14
2021/4/20,7.62,7.28,3.1,0.18
2021/4/21,8.36,10.6,1.3,0.05
2021/4/22,7.47,8.81,2.3,0.18
2021/4/23,8.14,8.73,1.7,0.19
2021/4/24,7.34,7.94,1.6,0.09
2021/4/25,6.54,4.55,3.8,1.06
2021/4/26,7.56,12.8,1.1,0.22
2021/4/27,8.79,6.51,1.8,0.34
2021/4/28,7.56,7.47,2.7,0.68
2021/4/29,6.75,8.12,2.3,0.42
2021/4/30,7.59,7.89,2.3,0.05
2021/5/1,8.08,7.84,1,0.1
2021/5/2,8.35,8.76,1.4,0.22
2021/5/3,7.24,8.08,1.4,0.12
2021/5/4,7.51,10.1,1.9,0.16
2021/5/5,7.38,6.69,2.4,0.1
2021/5/6,7.64,6.95,2.3,0.15
2021/5/7,8.21,7.54,2,0.3
2021/5/8,7.69,7.17,0.8,0.2
2021/5/9,7.67,7.18,3.5,0.29
2021/5/10,7.51,7.27,1.6,0.13
2021/5/11,7.6,7.62,3.4,0.16
2021/5/12,8.46,10.3,1.3,0.09
2021/5/13,7.35,8.19,1.8,0.2
2021/5/14,8.25,9.11,1.5,0.17
2021/5/15,7.83,7.73,1.6,0.12
2021/5/16,6.53,3.34,3.5,0.53
2021/5/17,7.69,8.61,1.2,0.21
2021/5/18,8.63,7.52,1.7,0.31
2021/5/19,7.46,7.52,2.5,0.64
2021/5/20,6.71,8.64,2.3,0.96
2021/5/21,7.46,7.55,1.6,0.03
2021/5/22,8.04,8.49,1.1,0.11
2021/5/23,8.07,8.49,2.6,0.26
2021/5/24,7.3,7.97,1.4,0.14
2021/5/25,7.45,9.27,1.6,0.17
2021/5/26,7.39,6.07,2,0.06
2021/5/27,7.61,6.33,2.1,0.13
2021/5/28,8.29,7.64,2.1,0.25
2021/5/29,7.5,6.76,2.7,0.09
2021/5/30,7.7,6.7,3.9,0.33
2021/5/31,7.4,6.68,1.7,0.13
2021/6/1,7.76,7.38,3.8,0.14
2021/6/2,8.37,9.94,1.3,0.07
2021/6/3,7.26,7.84,2,0.14
2021/6/4,8.46,9.16,1.7,0.15
2021/6/5,7.78,9.14,1.6,0.14
2021/6/6,6.69,4.17,3.6,0.52
2021/6/7,7.39,7.45,1,0.29
2021/6/8,8.88,8.65,1.8,0.29
2021/6/9,7.51,7.33,3.1,0.58
2021/6/10,6.74,7.73,2.1,0.34
2021/6/11,7.51,7.71,0.8,0.02
2021/6/12,8.12,8.57,1,0.09
2021/6/13,7.87,7.63,2,0.27
