1,2,3,4,5,6,7,8,9
8.16,11.11,405.1,22.4,2.32,2.17,10.66,4215,0.086
8.17,11.11,406.3,21.5,2.04,2.18,10.66,4215,0.084
8.17,11.11,406.9,21.2,1.53,2.2,10.825,4580,0.086
8.16,11.1,406.6,21.1,1.72,2.17,10.825,4580,0.076
8.22,11.29,381.8,21.7,1.72,2.17,10.825,4580,0.076
8.17,11.11,379.9,22.6,1.49,2.47,10.825,4580,0.073
8.16,11.07,381.9,22.6,1.72,2.24,10.825,4580,0.08
8.18,11.09,382.6,22.5,1.93,2.17,10.965,4310,0.083
8.17,11.15,384.8,21.6,1.32,2.14,11.42,4835,0.079
8.17,11.21,383,22.2,1.99,2.13,11.42,4835,0.08
8.16,11.21,381,21,2.35,2.12,11.42,4835,0.077
8.16,11.18,381.5,20.6,1.47,2.13,11.42,4835,0.075
8.16,11.16,380.5,20,1.78,2.1,11.515,4935,0.078
8.16,11.19,380.9,20,2.08,2.12,11.515,4935,0.073
8.19,11.3,381.7,23.7,1.65,2.15,12.03,5875,0.059
8.2,11.39,378.4,26.6,2.1,2.14,12.03,5875,0.073
8.21,11.35,379.4,25.1,2.53,2.12,12.03,5875,0.073
8.22,11.33,381.9,24.8,2.1,2.17,12.03,5875,0.071
8.21,11.33,383.4,24.7,1.77,2.11,12.165,5995,0.071
8.22,11.36,382.8,25.5,2.04,2.16,12.165,5995,0.062
8.21,11.46,380.1,27.7,2.24,2.14,12.165,5995,0.073
8.21,11.38,377.4,28.3,2.4,2.14,12.165,5995,0.071
8.19,10.72,395.7,31.9,1.6,2.13,12.18,5525,0.059
8.19,10.8,395.2,30,1.65,2.14,12.18,5525,0.064
8.17,10.79,396.4,31.7,1.31,2.1,12.055,5390,0.059
8.16,10.76,386.8,30.7,1.84,2.09,12.055,5390,0.062
8.16,10.34,412.4,18.6,1.55,2.08,11.435,4480,0.047
8.15,10.44,404.8,18.2,1.6,2.07,11.435,4480,0.049
8.15,10.28,410.6,18.1,1.94,2.05,11.2825,4190,0.049
8.14,10.36,410.8,18.6,1.75,2.05,11.2825,4190,0.042
8.15,10.42,403.4,18.8,1.75,2.05,11.2825,4190,0.042
8.21,10.29,400.9,19.1,1.32,1.92,11.2825,4190,0.054
8.19,10.18,405.1,19.1,1.26,1.95,11.2825,4190,0.06
8.16,10.14,407.4,18,1.28,1.96,11.16,4030,0.061
8.15,10.07,409,17.9,1.73,1.94,11.16,4030,0.06
8.15,10.13,408.1,18.3,1.33,1.94,11.16,4030,0.058
8.14,10.2,400.2,18.1,1.34,1.94,11.16,4030,0.058
8.16,10.11,402.6,17.9,0.75,1.95,11.04,3575,0.063
8.16,10.11,401.9,18.4,0.93,1.93,11.04,3575,0.057
8.17,10.05,413.2,18.6,1.37,1.93,11.04,3575,0.057
8.17,9.94,397.5,17.9,0.87,1.95,10.915,3440,0.056
8.17,9.95,396.1,17.4,1.07,1.91,10.915,3440,0.057
8.17,9.94,407.6,17.4,1.36,1.92,10.915,3440,0.056
8.19,9.77,407.4,17.6,0.86,1.95,10.915,3440,0.058
8.17,9.7,402.1,18.5,1.33,1.96,10.785,3280,0.06
8.17,9.65,403.4,16.9,0.62,1.92,10.67,3140,0.059
8.16,9.66,403.8,16.8,0.99,1.93,10.67,3140,0.052
8.18,9.58,409.4,16.9,0.99,1.9,10.67,3140,0.051
8.17,9.52,397.8,16.6,0.25,1.94,10.67,3140,0.055
8.17,9.5,411.7,17.9,0.64,1.92,10.55,3110,0.054
8.16,9.6,415.4,16.8,1.1,1.9,10.43,3245,0.054
8.17,9.51,407.7,16.5,0.55,1.9,10.43,3245,0.055
8.14,9.46,409.5,17.9,1.1,1.89,10.305,3115,0.056
8.15,9.48,403.3,18,1.5,1.91,10.305,3115,0.056
8.17,9.45,417.8,18.4,1.23,1.9,10.305,3115,0.057
8.17,9.45,419,16.6,1.06,1.9,10.305,3115,0.052
8.16,9.36,422.8,15.9,1.23,1.89,10.27,3000,0.053
8.44,9.45,414.8,17.8,1.04,1.94,,,0.074
8.51,9.34,413.8,30.1,2.03,1.96,11.225,3200,0.106
8.52,9.28,416.4,31.7,2.18,1.95,11.225,3200,0.117
8.51,9.27,416.7,36,2.33,1.95,11.52,3890,0.121
8.52,9.32,418.8,40.4,2.78,1.95,11.52,3890,0.13
8.52,9.26,417.3,38.5,1.5,1.99,11.52,3890,0.1
8.52,9.28,419.6,39.5,2.28,2.03,11.52,3890,0.104
8.52,9.29,420.9,40.6,2.36,2.04,11.965,4070,0.111
8.54,9.32,422.9,41.3,2.06,2.08,11.965,4070,0.119
8.51,9.3,423.8,44.6,2.04,2.3,11.965,4070,0.105
8.51,9.28,421.6,46.2,2.06,2.18,11.965,4070,0.118
8.51,9.2,423,54.5,2.38,2.15,11.965,4070,0.125
8.51,9.12,423.2,69.8,3.1,2.22,11.965,4070,0.15
8.48,9.06,405,80.4,2.98,2.26,12.2775,4475,0.166
8.49,9.05,406.7,76.5,2.84,2.23,12.2775,4475,0.168
8.48,9.06,406.3,68.6,2.78,2.19,12.2775,4475,0.144
8.48,9.1,404.4,65,2.82,2.18,12.2775,4475,0.143
8.47,9.08,402.9,62,2.93,2.19,12.2775,4475,0.134
8.47,9.04,405.2,58.1,2.35,2.18,12.2775,4475,0.134
8.45,8.97,407,56.2,2.73,2.2,12.455,4910,0.146
8.45,8.96,406.8,58,2.72,2.18,12.455,4910,0.133
8.46,8.98,399,57.7,2.95,2.24,12.455,4910,0.128
8.47,8.88,398,59.5,3.19,2.23,12.455,4910,0.126
8.45,8.9,400.8,57.5,2.65,2.24,12.455,4910,0.117
8.45,8.9,403.1,54.3,2.51,2.26,12.57,4895,0.122
8.46,9.09,399.9,48.6,3.08,2.18,12.57,4895,0.114
8.49,9.1,399.4,42.3,2.48,2.14,12.57,4895,0.113
8.46,9.12,399.9,39.2,2.24,2.14,12.66,5500,0.1
8.47,9.09,414.7,37.2,2.38,2.14,12.66,5500,0.102
8.46,9.07,414.8,38.5,2.72,2.12,12.66,5500,0.097
8.47,9.06,415.5,35.7,2.31,2.14,12.66,5500,0.097
8.47,9.09,416.1,34.8,2.93,2.12,12.64,5720,0.1
8.49,9.12,416.4,35.8,2.32,2.13,12.64,5720,0.101
8.46,9.12,414.8,35.2,2.47,2.12,12.64,5720,0.103
8.49,9.19,415.9,35.7,2.63,2.14,12.64,5720,0.098
8.48,9.17,416.4,31.8,2.48,2.11,12.64,5720,0.094
8.46,9.15,416.8,31.4,2.72,2.13,12.76,6895,0.104
8.46,9.21,415.1,30.5,2.22,2.14,12.76,6895,0.102
8.49,9.21,413.9,26.2,2.51,2.15,12.76,6895,0.097
8.49,9.19,415,25.1,2.36,2.14,12.76,6895,0.091
8.47,9.17,416,24.2,2.24,2.13,13.025,8585,0.1
8.46,9.15,433.6,25.9,2.07,2.11,13.025,8585,0.094
8.38,9.13,421.1,23.7,2.27,2.12,13.025,8585,0.102
8.4,9.1,424.3,22.5,1.81,2.11,13.025,8585,0.083
8.4,9.17,426.5,19.4,2.36,2.09,13.245,9375,0.079
8.4,9.22,424.6,22.1,2.14,2.08,13.245,9375,0.077
8.42,9.25,418,24,2.48,2.08,13.245,9375,0.083
8.44,9.19,413.9,22,2.23,2.1,13.245,9375,0.084
8.43,9.18,417.4,19.4,2.21,2.11,13.245,9375,0.072
8.42,9.16,420.6,19.6,2.19,2.13,13.345,9830,0.076
8.43,9.14,420.1,18.5,2.3,2.13,13.345,9830,0.077
8.41,9.15,415.8,19.8,2.34,2.18,13.345,9830,0.077
8.42,9.08,413.2,21.4,2.24,2.16,13.345,9830,0.075
8.44,9.05,414.3,21.4,2.78,2.14,13.345,9830,0.075
8.41,9.04,433.7,22.2,2.42,2.11,13.37,9260,0.077
8.41,9.04,432.4,22.3,2.07,2.13,13.37,9260,0.077
8.42,9.07,428.6,22.7,2.3,2.11,13.37,9260,0.078
8.43,9.01,426.3,23.7,2.5,2.12,13.37,9260,0.072
8.45,9.03,428.4,22.9,2.19,2.11,13.37,9260,0.071
8.41,9.03,412.5,23.4,2.22,2.12,13.3,8790,0.078
8.41,9.03,412.6,23.9,2.15,2.11,13.3,8790,0.08
8.41,8.98,406.1,26.3,2.27,2.12,13.3,8790,0.076
8.44,8.88,406.2,25,2.4,2.13,13.3,8790,0.071
8.42,8.87,407.3,25.7,2.19,2.09,13.17,8895,0.07
8.4,8.87,389.6,28.1,1.88,2.04,13.17,8895,0.076
8.4,8.88,397.9,24.8,1.89,2.07,13.17,8895,0.073
8.4,8.8,395,27.5,2.23,2.1,13.17,8895,0.068
8.41,8.67,380.6,28.4,2.02,2.1,13.17,8895,0.068
8.39,8.64,383,25.7,2.1,2.1,12.99,8710,0.067
8.37,8.64,383.9,26.2,2.07,2.09,12.99,8710,0.065
8.37,8.7,377.8,23.2,1.69,2.08,12.99,8710,0.064
8.39,8.66,375.6,23.2,2.28,2.11,12.99,8710,0.06
8.38,8.65,380.4,19.9,2.15,2.1,12.77,8455,0.063
8.38,8.69,381.1,20.2,1.97,2.11,12.77,8455,0.062
8.37,8.76,381.4,19.3,1.75,2.1,12.77,8455,0.063
8.4,8.76,387.9,17.9,1.6,2.11,12.77,8455,0.06
8.39,8.76,391.5,15.5,1.92,2.08,12.77,8455,0.057
8.4,8.8,391.9,15.8,2.27,2.08,12.52,7950,0.059
8.4,8.82,392.3,15.3,1.54,2.08,12.52,7950,0.06
8.39,8.92,387.9,15.5,1.6,2.05,12.52,7950,0.063
8.44,8.9,386,15,2.04,2.04,12.52,7950,0.064
8.43,8.9,386.6,14.7,1.38,2.05,12.27,7390,0.061
8.42,8.94,387.6,13.9,1.81,2.05,12.27,7390,0.058
8.46,9.02,396.9,14.4,2.34,2.01,12.27,7390,0.056
7.88,9.24,357.3,18.4,1.85,1.89,11.82,6485,0.06
7.89,9.26,359.2,16.2,2.01,1.96,11.82,6485,0.074
7.9,9.53,371.9,16.3,2.13,1.9,11.815,5760,0.012
7.9,9.14,380.8,18.8,1.75,1.93,11.83,5245,0.079
7.9,9.05,381.8,19.7,1.27,1.93,11.95,5045,0.073
7.86,8.97,382,21,1.51,1.94,11.95,5045,0.074
7.88,8.95,382.4,20.3,1.52,1.96,11.95,5045,0.077
7.89,8.96,382.3,19.8,1.93,1.96,11.95,5045,0.075
7.86,8.8,381.5,19.4,1.42,1.94,12.08,4745,0.079
7.89,8.82,383,19,1.68,1.94,12.08,4745,0.08
7.87,8.81,398.8,18.2,1.23,1.93,12.08,4745,0.085
7.86,8.77,401.8,19.9,1.58,1.95,12.27,4280,0.09
7.98,8.4,383.1,28.9,1.8,1.92,12.525,4560,0.072
7.96,8.42,385.5,31,1.42,1.88,12.735,4435,0.079
7.94,8.44,386.1,30.8,1.27,1.87,12.735,4435,0.073
7.94,8.44,384.3,31,1.52,1.87,12.735,4435,0.071
7.93,8.46,386.2,30.9,1.13,1.88,12.735,4435,0.068
7.92,8.51,389.5,31.6,1.6,1.86,12.88,4465,0.075
7.89,8.52,390.2,30.9,1.16,1.85,12.88,4465,0.067
7.9,8.54,385,31.8,0.67,1.89,12.88,4465,0.068
7.9,8.48,382.3,30.9,1.4,1.88,12.88,4465,0.069
7.91,8.42,383.8,31.4,1.71,1.9,12.88,4465,0.072
7.89,8.41,370.5,31.4,1.18,1.9,12.985,4645,0.073
7.89,8.4,371.8,30.6,1.32,1.87,12.985,4645,0.069
7.91,8.41,369.3,31.2,1.81,1.9,12.985,4645,0.066
7.9,8.42,369,31.6,1.14,1.87,12.985,4645,0.062
7.9,8.4,369.1,31.3,1.52,1.9,12.985,4645,0.068
7.89,8.35,369.2,31.4,1.22,1.85,13.07,4680,0.073
7.9,8.37,370.6,32.3,1.45,1.89,13.07,4680,0.07
7.9,8.34,368.8,31.5,1.31,1.87,13.07,4680,0.066
7.91,8.31,379.2,31.3,1.49,1.88,13.07,4680,0.065
7.88,8.26,365.2,29.8,1.99,1.88,13.07,4680,0.067
7.87,8.24,367.2,26.9,2.23,1.88,13.175,4645,0.072
7.88,8.24,376,26.1,1.13,1.87,13.175,4645,0.063
7.9,8.18,372.4,25.4,2.05,1.87,13.175,4645,0.061
